-122.944973717492, 44.2368317086432, 965.566
-122.986525227891, 44.1965816630713, 962.865
-122.884184024748, 44.3009169767325, 872.739
-122.932287554366, 44.2698862153419, 874.384
-123.466851669062, 44.3665762689504, 825.631
-122.982679175305, 44.1507101027548, 714.113
-122.955802515418, 44.1799419794271, 717.568
-123.007338007526, 44.1709475558356, 677.646
-122.937393274453, 44.3074379338364, 663.181
-122.906838315407, 44.2426780839777, 655.315
-122.893225369619, 44.1016904941812, 659.558
-123.000102419472, 44.1158567113378, 638.561
-122.860192882594, 44.2791054995232, 625.289
-122.947597950145, 44.2067003896117, 623.663
-123.443342338764, 44.3274505263274, 614.719
-123.42833027394, 44.243352665747, 607.462
-123.095697750927, 43.9834138239532, 601.581
-123.472433303768, 44.2741585665479, 596.883
-122.869866552315, 44.0340074566553, 566.687
-122.881698186449, 44.2017534566364, 566.07
